Date/Time,Electricity:Facility [J](TimeStep),ElectricityNet:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 07/23  06:00:00,1132536.865465316,1132536.8654653158,0.0 
 07/23  06:10:00,1126759.680747958,1126759.6807479577,0.0 
 07/23  06:20:00,1123950.3821902085,1123950.3821902085,0.0 
 07/23  06:30:00,1120482.3366567572,1120482.3366567572,0.0 
 07/23  06:40:00,1118850.240785659,1118850.240785659,0.0 
 07/23  06:50:00,1117300.9989571314,1117300.9989571314,0.0 
 07/23  07:00:00,1115825.079874481,1115825.079874481,0.0 
 07/23  07:10:00,1113950.405215989,1113950.405215989,0.0 
 07/23  07:20:00,1112059.504935273,1112059.5049352728,0.0 
 07/23  07:30:00,1110937.6520034057,1110937.6520034057,0.0 
 07/23  07:40:00,1110538.672638966,1110538.6726389658,0.0 
 07/23  07:50:00,1110175.7284076105,1110175.7284076103,0.0 
 07/23  08:00:00,1109848.4768040842,1109848.476804084,0.0 
 07/23  08:10:00,1109397.8256465095,1109397.8256465092,0.0 
 07/23  08:20:00,1108966.12291564,1108966.12291564,0.0 
 07/23  08:30:00,1108578.2852091692,1108578.285209169,0.0 
 07/23  08:40:00,1109205.4175440008,1109205.4175440006,0.0 
 07/23  08:50:00,1109278.084151414,1109278.084151414,0.0 
 07/23  09:00:00,1109418.9634422048,1109418.9634422048,0.0 
 07/23  09:10:00,1110480.9043222927,1110480.9043222927,0.0 
 07/23  09:20:00,1189985.5832550317,1189985.5832550317,0.0 
 07/23  09:30:00,1202688.921759633,1202688.921759633,0.0 
 07/23  09:40:00,1180406.5095681,1180406.5095680999,0.0 
 07/23  09:50:00,1112418.9764266269,1112418.976426627,0.0 
 07/23  10:00:00,1191606.0157963033,1191606.0157963033,0.0 
 07/23  10:10:00,1172086.2182351372,1172086.218235137,0.0 
 07/23  10:20:00,1157809.9268583549,1157809.9268583547,0.0 
 07/23  10:30:00,1110915.074399064,1110915.0743990639,0.0 
 07/23  10:40:00,1111246.3347209679,1111246.3347209676,0.0 
 07/23  10:50:00,1111578.7849852078,1111578.7849852078,0.0 
 07/23  11:00:00,1111912.4582104015,1111912.4582104015,0.0 
 07/23  11:10:00,1112003.5870092647,1112003.5870092647,0.0 
 07/23  11:20:00,1112099.4090850019,1112099.4090850019,0.0 
 07/23  11:30:00,1112214.23050573,1112214.23050573,0.0 
 07/23  11:40:00,1107314.2299745493,1107314.229974549,0.0 
 07/23  11:50:00,1105929.8056838676,1105929.8056838676,0.0 
 07/23  12:00:00,1105532.5743402937,1105532.5743402937,0.0 
 07/23  12:10:00,1105476.038244132,1105476.038244132,0.0 
 07/23  12:20:00,1105518.2767600555,1105518.2767600555,0.0 
 07/23  12:30:00,1105600.248658523,1105600.248658523,0.0 
 07/23  12:40:00,1105535.5199434916,1105535.5199434914,0.0 
 07/23  12:50:00,1105476.8777618306,1105476.8777618306,0.0 
 07/23  13:00:00,1105438.386508961,1105438.386508961,0.0 
 07/23  13:10:00,1105431.1728511607,1105431.1728511607,0.0 
 07/23  13:20:00,1105438.2042856119,1105438.2042856117,0.0 
 07/23  13:30:00,1105451.6155622067,1105451.6155622069,0.0 
 07/23  13:40:00,1105794.1558792273,1105794.1558792273,0.0 
 07/23  13:50:00,1105898.526427031,1105898.526427031,0.0 
 07/23  14:00:00,1106007.496175663,1106007.496175663,0.0 
